questiontype,prompt
how many,There are
is the,It is
what,This is
what color is the,The color is
what is the,This is
is this,This is
is this a,This is a
what is,This is
are the,They are
what kind of,The kind is
is there a,There is
what type of,The type is
is it,It is
what are the,They are
where is the,This is
is there,There is
does the,It is
what color are the,The colors are
are these,These are
are there,There are
which,That is
is,It is
what is the man,The man is
is the man,The man is
are,There are
how,It is
does this,This is
what is on the,It is on the
what does the,It is the
how many people are,There are
what is in the,There is
what is this,This is
do,It is
what are,They are
are they,They are
what time,The time is
what sport is,The sport is
are there any,There are
is he,He is
what color is,The color is
why,This is because
where are the,They are in
what color,The color is
who is,This is
what animal is,The animal is
is the woman,The woman is
is this an,This is
do you,I
how many people are in,The number of people are
what room is,The room is
has,It has
is this person,This person
what is the woman,The woman is
can you,I
why is the,This is because
is the person,The person is
what is the color of the,The color is
what is the person,The person is
could,It maybe
was,It was
is that a,That is
what number is,The number is
what is the name,The name is
what brand,The brand is
none of the above,The answer is
